ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-12-15T04:52:36Z,ios,2653764,NZ,122.56.202.80,,,,,S3EP12 善嵐傻大姐！慶女小天兵！歡樂糗事一籮筐！,善嵐慶女,spotify:episode:6oC7A4B9X1s71YJbWRVlwp,clickrow,trackdone,False,False,False,1702613294,False
2023-12-15T04:52:47Z,ios,10713,NZ,122.56.202.80,,,,,S3EP13 善嵐慶女神明廳：金鐘女神大駕光臨！影后隱藏的愚婦面向大公開！Feat.范瑞君,善嵐慶女,spotify:episode:1xSbTyYDfY9vRY35CcarVQ,trackdone,endplay,False,True,False,1702615957,False
2023-12-15T04:52:49Z,ios,975,NZ,122.56.202.80,,,,,S3EP11 毛孩修仙不設限！動物神信仰怎麼這麼可愛啦！,善嵐慶女,spotify:episode:3CK7oLEAhiuE2NVt440L5X,clickrow,endplay,False,True,False,1702615968,False
2023-12-15T05:43:42Z,ios,2980213,NZ,203.211.107.79,,,,,S3EP10 招財大補帖！蕭貪姐妹一同拜對財神養神獸！,善嵐慶女,spotify:episode:7Fcv1lUCCicV0OvlEtJ8rB,clickrow,trackdone,False,False,False,1702615969,False
2023-12-15T05:44:16Z,ios,33469,NZ,203.211.107.79,,,,,S3EP11 毛孩修仙不設限！動物神信仰怎麼這麼可愛啦！,善嵐慶女,spotify:episode:3CK7oLEAhiuE2NVt440L5X,trackdone,endplay,False,True,False,1702619023,False
2023-12-15T06:07:54Z,ios,1244868,NZ,203.211.107.79,,,,,S3EP6 USO！善嵐慶女！都市傳說就是我們的童年陰影！,善嵐慶女,spotify:episode:2XxPVNxf8Oh8GgY4OxrzTb,clickrow,endplay,False,True,False,1702619057,False
2023-12-15T06:48:26Z,ios,2166445,NZ,122.56.202.80,,,,,S3EP5 工作嘟丟鬼！職場遇小人求神之外也求己！,善嵐慶女,spotify:episode:6XgLgcVRD5Xtoa6wMyXB0k,clickrow,endplay,False,True,False,1702620475,False
2023-12-15T07:41:21Z,ios,3147572,NZ,203.211.108.109,,,,,S3EP4 只能喝酒的善嵐慶女！濟公扶貧救困救救我！,善嵐慶女,spotify:episode:5Gk8qKLtc7OszbRwnMiPYY,clickrow,trackdone,False,False,False,1702622906,False
2023-12-15T08:06:40Z,ios,1517350,NZ,203.211.108.109,,,,,S3EP5 工作嘟丟鬼！職場遇小人求神之外也求己！,善嵐慶女,spotify:episode:6XgLgcVRD5Xtoa6wMyXB0k,trackdone,trackdone,False,False,False,1702626081,False
2023-12-15T08:07:58Z,ios,59917,NZ,203.211.108.109,,,,,S3EP6 USO！善嵐慶女！都市傳說就是我們的童年陰影！,善嵐慶女,spotify:episode:2XxPVNxf8Oh8GgY4OxrzTb,trackdone,endplay,False,True,False,1702627601,False
2023-12-15T09:16:34Z,ios,4028475,NZ,203.211.108.109,,,,,S2EP20 善嵐慶女同學會：人生起落依舊hold住全場！亞洲頂流女明星大駕光臨！feat.謝依霖,善嵐慶女,spotify:episode:6ddTXBSkQJioxmmvHBNmfS,clickrow,endplay,False,True,False,1702627679,False
2023-12-15T10:26:50Z,ios,4216424,NZ,203.211.108.109,,,,,除夕特輯：除舊佈新迎新春！除夕大亂鬥！,善嵐慶女,spotify:episode:6SnGWeoO2G2O2tJmovOjRo,clickrow,trackdone,False,False,False,1702631795,False
2023-12-15T11:26:33Z,ios,3581596,NZ,203.211.108.109,,,,,初一特輯：各式各樣新年開運法！兔年開運開起來！,善嵐慶女,spotify:episode:5XlGXp4hbOfxlU1RluCzS1,trackdone,trackdone,False,False,False,1702636011,False
2023-12-15T12:33:12Z,ios,3999346,NZ,203.211.108.109,,,,,初二特輯：過年習俗禁忌再多都不怕！旺兔順利最重要！,善嵐慶女,spotify:episode:2nx80icNCKedfduH9IYv9k,trackdone,trackdone,False,False,False,1702639593,False
2023-12-15T13:35:26Z,ios,3733080,NZ,203.211.108.109,,,,,S2EP1 愛情嘟丟鬼！姐妹手持兵器一同痛斬爛桃花,善嵐慶女,spotify:episode:4et2vnltFC9QUhtJatCsp9,trackdone,trackdone,False,False,False,1702643593,False
2023-12-15T14:26:20Z,ios,3053949,NZ,203.211.108.109,,,,,S2EP2 神明代言人魅力無法擋！全台帥乩童報你知！,善嵐慶女,spotify:episode:2b9nGb8glGW40cMkzhDjcN,trackdone,trackdone,False,False,False,1702647327,False
2023-12-15T15:19:55Z,ios,3214445,NZ,203.211.108.109,,,,,S2EP3 地表天后！神明天后！善嵐慶女全都迷到爆！,善嵐慶女,spotify:episode:4zEVvO6AbQ6FCO0RtujD8o,trackdone,trackdone,False,False,False,1702650381,False
2023-12-15T17:50:47Z,ios,2330202,NZ,125.168.223.233,,,,,S2EP4 善嵐慶女同學會：三十拉警報！面對迷惘超危機！feat. 李劭婕&呂名堯,善嵐慶女,spotify:episode:6BhLmpUGJnfIvj6rSfFwAZ,trackdone,endplay,False,True,False,1702653596,False
2023-12-16T03:52:28Z,ios,853533,NZ,203.211.108.109,,,,,S2EP7 人人都有一個魔法阿嬤！迷信偏方治百病！？,善嵐慶女,spotify:episode:680BiP3ZF2Sv1TMxT5Ez0r,clickrow,unexpected-exit-while-paused,False,False,False,1702697259,False
2023-12-16T06:30:43Z,ios,2206257,NZ,203.211.108.109,,,,,S2EP7 人人都有一個魔法阿嬤！迷信偏方治百病！？,善嵐慶女,spotify:episode:680BiP3ZF2Sv1TMxT5Ez0r,appload,trackdone,False,False,False,1702706037,False
2023-12-16T07:22:28Z,ios,3104783,NZ,203.211.108.109,,,,,S2EP8 善嵐慶女同學會：男神不藏私！不為人知面向大公開！feat.傅孟柏、歐陽倫,善嵐慶女,spotify:episode:4Gt80lGecpPcjekIw5NQOa,trackdone,trackdone,False,False,False,1702708243,False
2023-12-16T08:34:04Z,ios,3140568,NZ,203.211.108.109,,,,,S2EP9 Y2K哈什麼！？哈日哈韓哈洋哈末日預言恐怖大王！,善嵐慶女,spotify:episode:67sfZtNM2cNYT3YMe4xgO4,trackdone,trackdone,False,False,False,1702711349,False
2023-12-16T08:34:08Z,ios,2678,NZ,203.211.108.109,,,,,S2EP10 靈異故事嚇嚇叫！慶女手持笑話沖喜催落去！,善嵐慶女,spotify:episode:229DcoOMtN2Y4AmtwslbSF,trackdone,trackdone,False,False,False,1702715644,False
2023-12-16T08:34:11Z,ios,2614,NZ,203.211.108.109,,,,,S2EP11 招財大補帖！姐妹愛財有道一同送窮迎財氣！,善嵐慶女,spotify:episode:0FX1IjsM2Jv7HL4dpx7GeZ,trackdone,trackdone,False,False,False,1702715648,False
2023-12-16T08:34:14Z,ios,2957,NZ,203.211.108.109,,,,,S2EP12 善嵐慶女同學會：女神指定姐妹降落！身心靈師姐開示大會！feat.簡嫚書,善嵐慶女,spotify:episode:33FWT8ik6jzJUWgTSLLjBA,trackdone,trackdone,False,False,False,1702715651,False
2023-12-16T08:34:52Z,ios,36787,NZ,203.211.108.109,,,,,S2EP13 善嵐慶女同學會：百萬網紅爆火心法！私下迷信面貌大公開！feat.大表哥995,善嵐慶女,spotify:episode:3z7WcnBrTnVihmIC35iyzZ,trackdone,endplay,False,True,False,1702715655,False
2023-12-16T09:44:24Z,ios,4171443,NZ,203.211.108.109,,,,,除夕特輯：除舊佈新迎新春！除夕大亂鬥！,善嵐慶女,spotify:episode:6SnGWeoO2G2O2tJmovOjRo,clickrow,trackdone,False,False,False,1702715693,False
2023-12-16T10:43:06Z,ios,3521561,NZ,203.211.108.109,,,,,初一特輯：各式各樣新年開運法！兔年開運開起來！,善嵐慶女,spotify:episode:5XlGXp4hbOfxlU1RluCzS1,trackdone,trackdone,False,False,False,1702719864,False
2023-12-16T11:49:45Z,ios,3999346,NZ,203.211.108.109,,,,,初二特輯：過年習俗禁忌再多都不怕！旺兔順利最重要！,善嵐慶女,spotify:episode:2nx80icNCKedfduH9IYv9k,trackdone,trackdone,False,False,False,1702723387,False
2023-12-16T12:51:59Z,ios,3733080,NZ,203.211.108.109,,,,,S2EP1 愛情嘟丟鬼！姐妹手持兵器一同痛斬爛桃花,善嵐慶女,spotify:episode:4et2vnltFC9QUhtJatCsp9,trackdone,trackdone,False,False,False,1702727386,False
2023-12-16T13:42:53Z,ios,3053949,NZ,203.211.108.109,,,,,S2EP2 神明代言人魅力無法擋！全台帥乩童報你知！,善嵐慶女,spotify:episode:2b9nGb8glGW40cMkzhDjcN,trackdone,trackdone,False,False,False,1702731119,False
2023-12-16T14:36:28Z,ios,3214445,NZ,203.211.108.109,,,,,S2EP3 地表天后！神明天后！善嵐慶女全都迷到爆！,善嵐慶女,spotify:episode:4zEVvO6AbQ6FCO0RtujD8o,trackdone,trackdone,False,False,False,1702734174,False
2023-12-16T14:45:24Z,ios,535431,NZ,203.211.108.109,,,,,S2EP4 善嵐慶女同學會：三十拉警報！面對迷惘超危機！feat. 李劭婕&呂名堯,善嵐慶女,spotify:episode:6BhLmpUGJnfIvj6rSfFwAZ,trackdone,trackdone,False,False,False,1702737389,False
2023-12-16T15:48:24Z,ios,3779160,NZ,203.211.108.109,,,,,S2EP5 工作嘟丟鬼！職場靈異體質操起傢伙驅魔去！,善嵐慶女,spotify:episode:5tYKSp17wEUgqmuR5VK2Wa,trackdone,trackdone,False,False,False,1702737925,False
2023-12-16T16:12:26Z,ios,1441992,NZ,203.211.108.109,,,,,S2EP6 善嵐慶女同學會：外貌迷思真焦慮！佛母降世幫幫忙！feat.蔡亘晏,善嵐慶女,spotify:episode:4V0GOuXb7PEqdEDGVUUngS,trackdone,trackdone,False,False,False,1702741704,False
2023-12-16T17:14:50Z,ios,2854569,NZ,203.211.108.109,,,,,S2EP7 人人都有一個魔法阿嬤！迷信偏方治百病！？,善嵐慶女,spotify:episode:680BiP3ZF2Sv1TMxT5Ez0r,trackdone,endplay,False,True,False,1702743147,False
2023-12-17T04:39:48Z,ios,552598,NZ,203.211.108.109,,,,,#67｜能抱怨都已是萬幸 ♪,童話裡都是騙人的,spotify:episode:3XIDZaOIULkvvBe6RI2K24,clickrow,trackdone,False,False,False,1702787435,False
2023-12-17T04:39:50Z,ios,1868,NZ,203.211.108.109,,,,,#73｜乖乖在家，讓好事自己上門♪,童話裡都是騙人的,spotify:episode:4VFKgbuX7HxpL65O37aX74,trackdone,trackdone,False,False,False,1702787988,False
2023-12-17T04:43:15Z,ios,202922,NZ,203.211.108.109,,,,,#74｜只聽廣告情節，猜得出商品嗎？ ft. 只要有人聽就好 ♪,童話裡都是騙人的,spotify:episode:3yEDw3YRkTvsopMCeLK7RG,trackdone,endplay,False,True,False,1702787991,False
2023-12-17T05:35:33Z,ios,3137253,NZ,115.189.91.116,,,,,S3EP8 神明的愛恨情仇！感情糾紛原來不只在人間！,善嵐慶女,spotify:episode:0fBD8NGxfMpyJE8cDerDuv,clickrow,trackdone,False,False,False,1702788197,False
2023-12-17T06:18:58Z,ios,2602960,NZ,203.211.108.109,,,,,S3EP9 天蠍讓人好害怕！天蠍心狠手辣不道歉大會！Feat.賴澔哲,善嵐慶女,spotify:episode:4XNBmu2upkzmYxi6yIEys5,trackdone,unexpected-exit-while-paused,False,False,False,1702791334,False
2023-12-17T07:14:11Z,ios,59712,NZ,203.211.108.109,,,,,S3EP9 天蠍讓人好害怕！天蠍心狠手辣不道歉大會！Feat.賴澔哲,善嵐慶女,spotify:episode:4XNBmu2upkzmYxi6yIEys5,appload,endplay,False,True,False,1702797179,False
2023-12-17T08:31:54Z,ios,3317106,NZ,203.211.108.109,,,,,S3EP3 善嵐慶女神明廳：相聲之神大駕光臨！到底是包黑子壞壞還是善嵐慶女壞壞！Feat.馮翊綱,善嵐慶女,spotify:episode:6M5ejfbuLR5S7xYTzZggO2,clickrow,trackdone,False,False,False,1702797252,False
2023-12-17T09:24:21Z,ios,3147572,NZ,203.211.108.109,,,,,S3EP4 只能喝酒的善嵐慶女！濟公扶貧救困救救我！,善嵐慶女,spotify:episode:5Gk8qKLtc7OszbRwnMiPYY,trackdone,trackdone,False,False,False,1702801914,False
2023-12-17T10:27:03Z,ios,3756852,NZ,203.211.108.109,,,,,S3EP5 工作嘟丟鬼！職場遇小人求神之外也求己！,善嵐慶女,spotify:episode:6XgLgcVRD5Xtoa6wMyXB0k,trackdone,trackdone,False,False,False,1702805062,False
2023-12-17T11:03:34Z,ios,2191243,NZ,203.211.108.109,,,,,S3EP6 USO！善嵐慶女！都市傳說就是我們的童年陰影！,善嵐慶女,spotify:episode:2XxPVNxf8Oh8GgY4OxrzTb,trackdone,trackdone,False,False,False,1702808823,False
2023-12-17T12:03:55Z,ios,3619474,NZ,203.211.108.109,,,,,S3EP7 愛情嘟丟Gay！仙佛不要錯點鴛鴦譜！,善嵐慶女,spotify:episode:0Yw2XWwJM0c7vTLd2rAG87,trackdone,trackdone,False,False,False,1702811015,False
2023-12-17T12:56:13Z,ios,3137253,NZ,203.211.108.109,,,,,S3EP8 神明的愛恨情仇！感情糾紛原來不只在人間！,善嵐慶女,spotify:episode:0fBD8NGxfMpyJE8cDerDuv,trackdone,trackdone,False,False,False,1702814635,False
2023-12-17T13:04:21Z,ios,488602,NZ,203.211.108.109,,,,,S3EP9 天蠍讓人好害怕！天蠍心狠手辣不道歉大會！Feat.賴澔哲,善嵐慶女,spotify:episode:4XNBmu2upkzmYxi6yIEys5,trackdone,trackdone,False,False,False,1702817773,False
2023-12-17T13:56:00Z,ios,3097704,NZ,203.211.108.109,,,,,S3EP10 招財大補帖！蕭貪姐妹一同拜對財神養神獸！,善嵐慶女,spotify:episode:7Fcv1lUCCicV0OvlEtJ8rB,trackdone,trackdone,False,False,False,1702818262,False
2023-12-17T14:39:11Z,ios,2591470,NZ,203.211.108.109,,,,,S3EP11 毛孩修仙不設限！動物神信仰怎麼這麼可愛啦！,善嵐慶女,spotify:episode:3CK7oLEAhiuE2NVt440L5X,trackdone,trackdone,False,False,False,1702821360,False
2023-12-17T15:26:36Z,ios,2844342,NZ,203.211.108.109,,,,,S3EP12 善嵐傻大姐！慶女小天兵！歡樂糗事一籮筐！,善嵐慶女,spotify:episode:6oC7A4B9X1s71YJbWRVlwp,trackdone,trackdone,False,False,False,1702823952,False
2023-12-17T16:34:39Z,ios,4081689,NZ,203.211.108.109,,,,,S3EP13 善嵐慶女神明廳：金鐘女神大駕光臨！影后隱藏的愚婦面向大公開！Feat.范瑞君,善嵐慶女,spotify:episode:1xSbTyYDfY9vRY35CcarVQ,trackdone,trackdone,False,False,False,1702826797,False
2023-12-17T18:12:49Z,ios,3562936,NZ,203.211.108.109,,,,,S3EP14 善嵐慶女仙拼仙：女子天團來巡香！善嵐慶女雙手合十恭迎聖駕！Feat.阿路八,善嵐慶女,spotify:episode:3XNylLN7ZQ0EblQKNZjUYZ,trackdone,endplay,False,True,False,1702830879,False
2023-12-17T18:45:27Z,ios,1934774,NZ,115.189.91.116,,,,,EP12 婚喪喜慶妙習俗之善嵐慶女笑破地球表面,善嵐慶女,spotify:episode:3PYGYf3EvNGFMbx4T2zltR,clickrow,trackdone,False,False,False,1702836770,False
2023-12-17T18:45:39Z,ios,11735,NZ,219.89.193.250,,,,,EP13 居家風水奇門遁甲之愚友情侶檔來踢館啦！feat. Elmo＆高右恬,善嵐慶女,spotify:episode:4eYQ5Gjzg9eF4L2m7e0PUj,trackdone,endplay,False,True,False,1702838727,False
2023-12-17T20:46:19Z,ios,2262569,NZ,219.89.193.250,,,,,EP1 好兄弟旅遊旺季之普渡同樂會,善嵐慶女,spotify:episode:2M65JePxtayeJuqMN4NR5l,clickrow,trackdone,False,False,False,1702843718,False
2023-12-17T21:24:03Z,ios,2263353,NZ,219.89.193.250,,,,,EP2 北北基最罩土地公之我們的烘爐地葛格,善嵐慶女,spotify:episode:1ArsqlTZgptGax7IDbKKKZ,trackdone,trackdone,False,False,False,1702845980,False
2023-12-17T21:53:38Z,ios,1773688,NZ,219.89.193.250,,,,,EP3 慶女最愛私房神明之四面佛、狐仙、兔兒神,善嵐慶女,spotify:episode:4FPoyqwuof2q3HdbGyJMhY,trackdone,trackdone,False,False,False,1702848243,False
2023-12-17T22:19:38Z,ios,1559285,NZ,219.89.193.250,,,,,EP4 占卜算算算命運好好玩之善嵐最愛塔羅BOY大駕光臨！,善嵐慶女,spotify:episode:6OonkmkUOW3GEYace8KCaB,trackdone,trackdone,False,False,False,1702850018,False
2023-12-17T22:49:26Z,ios,1785672,NZ,219.89.193.250,,,,,EP5 有生之年狹路相逢之善嵐慶女前世大解謎,善嵐慶女,spotify:episode:14Y6Usft8w4mozOT2xqwLh,trackdone,trackdone,False,False,False,1702851579,False
2023-12-17T23:27:24Z,ios,1847412,NZ,219.89.193.250,,,,,EP6 善嵐惡霸王壞壞之冤親債主討上門啦！,善嵐慶女,spotify:episode:3Ncr2mwQZAjh6qbbeUmVtr,trackdone,trackdone,False,False,False,1702853366,False
2023-12-17T23:55:25Z,ios,1679557,NZ,219.89.193.250,,,,,EP7 五花八門生活小迷信之善嵐慶女超沈迷！,善嵐慶女,spotify:episode:6IHgqnE2TIhxwWwdJZODLW,trackdone,trackdone,False,False,False,1702855644,False
