artist_name,genres
Pakho Chau,cantopop
Twins,cantopop
Vincy Chan,cantopop
Wilfred Lau,cantopop
Zhang Bichen,mandopop
徐良,mandopop
音阙诗听,mandopop
TFBOYS,mandopop
TFBOYS,chinese idol pop
DNCE,pop
Alessia Cara,pop
Alessia Cara,r&b
Hailee Steinfeld,pop
Jonathan Lee,mandopop
Queena Cui,mandopop
李宗盛,mandopop
Jackson Wang,k-pop
Mariah Carey,pop
Mariah Carey,urban contemporary
林志炫,mandopop
MC HotDog,mandopop
MC HotDog,hip hop
ZICO,r&b
ZICO,k-pop
DAY6,k-pop
GOT7,k-pop
Eric Nam,k-pop
PENTAGON,k-pop
MONSTA X,k-pop
JJ Project,k-pop
WINNER,k-pop
Stray Kids,pop
Stray Kids,k-pop
SuperM,k-pop
NCT 127,k-pop
ONEUS,k-pop
ATEEZ,k-pop
The Rose,k-pop
Jay Park,r&b
Jay Park,rap
Jay Park,k-pop
Moon Chew,mandopop
Jung Yong Hwa,k-pop
The Weeknd,pop
The Weeknd,r&b
Moux,focus
Tosh Møller,background piano
Eric Badanti,background piano
SYML,indie
Sigrid Vass,background piano
Rosie Carney,irish singer-songwriter
Rosie Carney,indie
Mewael Yemane,background piano
Jacob David,neo-classical
Rich Music LTD,urbano latino
Rae Sremmurd,hip hop
Rae Sremmurd,rap
Mélanie Laurent,pop
Eric Cadogan,background piano
Ana Olgica,focus
Jordane Tumarinson,neo-classical
Valbona Ceferin,background piano
Quinn MacKenzie,background piano
Max Richter,post-minimalism
Max Richter,compositional ambient
Hayden James,edm
Hayden James,pop
Hayden James,aussietronica
MEDUZA,edm
MEDUZA,pop edm
MEDUZA,uk dance
MEDUZA,pop
Normani,r&b
Normani,pop
ROSALÍA,r&b
ROSALÍA,pop
Coldplay,pop
Coldplay,permanent wave
Adon,edm
Adon,chill edm
Jonas Brothers,pop
Jonas Brothers,boy band
Kygo,edm
Kygo,pop
Tiësto,edm
Tiësto,pop
Tiësto,trance
Tiësto,big room
Martin Garrix,edm
Martin Garrix,pop
Fly By Midnight,singer-songwriter pop
Major Lazer,edm
Major Lazer,moombahton
Major Lazer,pop
Ariana Grande,pop
SHAED,pop
Lizzo,hip hop
Lizzo,pop
Lizzo,escape room
Mabel,pop
Anuel AA,hip hop
Anuel AA,hip hop boricua
Anuel AA,reggae
Anuel AA,urbano latino
G-Eazy,indie
G-Eazy,rap
G-Eazy,hip hop
Colbie Caillat,neo mellow
Colbie Caillat,pop
孙露,chinese audiophile
童安格,mandopop
Wakin Chau,mandopop
Danny Chan,mandopop
Danny Chan,cantopop
Priscilla Chan,mandopop
Priscilla Chan,cantopop
Alan Tam,mandopop
Alan Tam,cantopop
Anita Mui,mandopop
Anita Mui,cantopop
廖小璇,cantopop
Andy Lau,mandopop
Andy Lau,cantopop
陳良泉,mandopop
Teresa Teng,mandopop
Teresa Teng,kayokyoku
羅鈾霞,not found
黃蜀娟,mandopop
Dou Wei,indie
Dou Wei,rock
Dou Wei,chinese experimental
邰正宵,mandopop
谭艳,chinese audiophile
趙詠華,mandopop
Landy Wen,mandopop
張德蘭,cantopop
張德蘭,cantonese opera
蔡國權,mandopop
蔡國權,cantopop
Leslie Cheung,mandopop
Leslie Cheung,cantopop
Hacken Lee,mandopop
Hacken Lee,cantopop
Roman Tam,mandopop
Roman Tam,cantopop
呂珊,cantopop
相思,pop
Regard,edm
Regard,uk dance
Regard,pop
Avicii,edm
Avicii,pop
GASHI,hip hop
Dan + Shay,country
Dan + Shay,country road
Dan + Shay,contemporary country
Kanye West,hip hop
Kanye West,rap
Travis Scott,rap
Travis Scott,edm
KAROL G,reggae
KAROL G,urbano latino
Black Eyed Peas,pop
Black Eyed Peas,rap
Post Malone,pop
Post Malone,rap
Christina Perri,pop
Kelly Clarkson,pop
Kelly Clarkson,talent show
楊洋,mandopop
Where Chou,mandopop
王源,chinese singer-songwriter
王源,mandopop
王源,chinese idol pop
Joi Chua,singaporean singer-songwriter
Joi Chua,mandopop
Sam Hui,mandopop
Sam Hui,cantopop
Mavis Hee,mandopop
Mavis Hee,cantopop
Chen Li Juan,mandopop
Wanfang,mandopop
鳳飛飛,mandopop
