artist_name,genres
Joi Chua,"mandopop, singaporean mandopop, singaporean singer-songwriter"
Sam Hui,"classic cantopop, mandopop, vintage cantonese pop"
黃衍濛,no genres found
Mavis Hee,"classic cantopop, mandopop, singaporean mandopop, singaporean pop"
Chen Li Juan,malaysian mandopop
Wanfang,mandopop
鳳飛飛,mandopop
江念庭,no genres found
Sarah Chen,mandopop
Justin Lo,cantopop
蔡振南,"hokkien pop, mandopop"
Tsai Chin,"chinese audiophile, mandopop, taiwan campus folk"
黃小琥,mandopop
Zhang Qing Fang,mandopop
林淑容,mandopop
Sammi Cheng,"cantopop, mandopop"
Tracy Huang,mandopop
Fei Yu-ching,mandopop
CoCo Lee,mandopop
Alex To,mandopop
Yida Huang,"mandopop, singaporean mandopop"
Loud Luxury,"dance pop, edm"
Zedd,"complextro, dance pop, edm, german techno, pop"
Billie Eilish,"art pop, pop"
Selena Gomez,"pop, post-teen pop"
Y2K,"pop rap, viral rap"
The Game,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Dua Lipa,"dance pop, pop, uk pop"
Camo Columbo,no genres found
Johnning,"gaming edm, pop edm"
Halsey,"electropop, etherpop, indie poptimism, pop"
Rival,no genres found
Tanjent,no genres found
Lauv,pop
Ant Saunders,chill r&b
DVBBS,"canadian electronic, dance pop, dutch house, edm, electro house, progressive electro house, slap house"
blackbear,"alt z, pop"
Flux Pavilion,"brostep, classic dubstep, complextro, edm, electro house"
Snoop Dogg,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
Sam Feldt,"dance pop, edm, tropical house"
Megan Thee Stallion,"houston rap, pop, rap, trap queen"
Cheat Codes,"dance pop, edm, pop"
Clean Bandit,"pop, uk dance, uk funky"
J Balvin,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
DJ Snake,"dance pop, edm, electronic trap, pop"
SIX60,"nz pop, nz reggae"
Peking Duk,"aussietronica, australian electropop, australian indie, edm"
"Tyler, The Creator","hip hop, rap"
Nicole Millar,"australian pop, gauze pop"
M.I.A.,"escape room, indietronica, new rave"
DJ Katch,basshall
Wale,"pop rap, r&b, rap, southern hip hop, trap"
HAIM,"indietronica, metropopolis"
BROODS,"auckland indie, etherpop, indietronica, metropopolis, nz pop"
Lucy Rose,"ambient folk, british singer-songwriter"
Vicetone,"dance pop, edm, electro house, progressive electro house"
Morgan Sulele,"norwegian pop, russelater"
Syn Cole,"dance pop, deep tropical house, edm, pop edm, progressive electro house, tropical house"
Rascal Flatts,"contemporary country, country, country road"
Shania Twain,"canadian country, canadian pop, contemporary country, country, country dawn"
N.E.R.D,"hip hop, virginia hip hop"
Arizona Zervas,"indie pop rap, pop rap, rhode island rap"
Roddy Ricch,"melodic rap, rap, trap"
Mac Miller,"hip hop, pittsburgh rap, rap"
Labrinth,"indie poptimism, pop"
Shakira,"colombian pop, dance pop, latin pop, pop"
Tones And I,australian pop
Rita Ora,"dance pop, pop, uk pop"
Gotye,australian pop
BROCKHAMPTON,"boy band, rap"
CÄHN,sami
PARTYNEXTDOOR,"r&b, rap, urban contemporary"
Keenan,no genres found
Bazzi,pop
Ava Max,pop
Marshmello,"brostep, edm, pop, progressive electro house"
Lady Gaga,"art pop, dance pop, pop"
LEFT.,no genres found
Youngn Lipz,aussie drill
Fabolous,"gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
B Young,"afroswing, london rap, uk hip hop"
Future,"atl hip hop, hip hop, rap, southern hip hop, trap"
Flipp Dinero,"melodic rap, trap"
H.E.R.,"r&b, rap"
Russ,"hawaiian hip hop, pop rap"
Eminem,"detroit hip hop, hip hop, rap"
Meek Mill,"hip hop, philly rap, pop rap, rap, southern hip hop, trap"
Ray J,"pop rap, urban contemporary"
Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
DaniLeigh,"r&b, rap latina"
Conan Gray,"bedroom pop, pop, pov: indie"
Noah Cyrus,"alt z, pop"
Jorja Smith,"r&b, uk contemporary r&b"
Alex Skrindo,gaming edm
Rebecca Leonard,background piano
Patrizio Pisani,background piano
SAINt JHN,"melodic rap, slap house"
Brantley Gilbert,"contemporary country, country, country road, modern country rock"
DripReport,viral rap
D-Slugga,no genres found
Chance the Rapper,"chicago rap, conscious hip hop, hip hop, pop rap, rap, trap"
Kranium,"basshall, dancehall"
Cardi B,"pop, rap"
Carmouflage Rose,"australian hip hop, brisbane hip hop"
ZHU,"edm, electro house"
Touch Sensitive,"aussietronica, nu disco"
Treyy G,"melbourne bounce, melbourne bounce international"
Troye Sivan,"australian pop, pop, viral pop"
Fergie,"dance pop, pop"
Duke Dumont,"dance pop, edm, house, progressive house, uk dance"
Black Caviar,dance pop
Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap"
Valentino Khan,"brostep, edm, electro house, electronic trap, moombahton"
Era Istrefi,"albanian hip hop, albanian pop, kosovan pop"
Karen Harding,"dance pop, house, uk dance"
Steve Aoki,"dance pop, edm, electro house"
Missy Elliott,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop"
Trill Ryan,viral rap
Massari,"canadian pop, lebanese pop"
